এক দেশে একই অপরাধের জন্য দুই আইন কেন??  আইন সবার জন্য সমান হওয়া উচিৎ। এই ঘটনার তীব্র নিন্দা জানাচ্ছি।,1
শিক্ষককে গ্রেফতারের মধ্যদিয়ে বখাটেদের উৎসাহিত করা হলো।,1
শিক্ষিকাকেও আটক করা হোক!,1
এক দেশ দুই নীতি ' কোন দেশে? আগে উত্তর ছিলো চীন দেশে।  এখন আমার সোনার বাংলা। শিক্ষক শব্দটাই দেখছি দিনে দিনে একটা কলঙ্কিত শব্দ হয়ে যাচ্ছে! শিক্ষকের কাজ শুধুই বই খুলে পড়ানো আর পড়ানো!,0
"তাহলে তো ইচ্ছে মতো চুল রাখা যাবে? উগ্রতা, বখাটেপনা বলে কিছুই নেই??",0
শিক্ষকরে কেন আটক করা হয়নি??ফাও যত্তসব!,1
আইন সবার জন্য সমান হলে বিশ্ব বিদ্যালয়ের শিক্ষিকাকে আগে গ্রেফতার করা উচিত ছিলো৷ চুল কেটে দেওয়া এমন কোন অপরাধ নয় যে তাকে গ্রেফতার করতে হবে৷,1
নিন্দা জানাই। শিক্ষক এর মুক্তি দাবি করছি।,0
মসজিদ কমিটির লোকেরা ইমাম নিয়োগের ভাইবা নিচ্ছে!  কমিটিঃ কিয়ামত এর বড় আলামত কি ? ইমাম সাহেবঃ মূর্খরা জ্ঞানীদের পরীক্ষা নিবে!,0
"যত অত্যাচার সব ওই স্কুলের গ্রামীণ সহজ সরল শিক্ষকদের উপর। এই দিকে উচ্চ শিক্ষা প্রতিষ্ঠানের হাজার হাজার শিক্ষক দুর্নীতি, লেজুড়বৃত্তি, অন্যায়, করে ও ধরা ছোঁয়ার বাইরে।",0
শিক্ষা এবং শিক্ষকদের মর্যাদা ফিরে পেতে হলে প্রয়োজন বাদশা আলমগীরের মতো মহান শাসকের।   সকল শিক্ষক সমিতি ও শিক্ষকদের হওয়া উচিত নির্ভয় ও উন্নত মম শির।,0
"শিক্ষক হয় তাহলে জাতীয় টেলিভিশনে হাজারো টকশো করলেও গ্রেফতার করতে হাইকমিশনের অনুমতি লাগবে, তাই সেইদিকে প্রশাসন দুর্বল",0
রবীন্দ্রনাথ বিশ্ববিদ্যালয় শিক্ষিকা ফারজানা বাতেন ১৪ জন শিক্ষার্থীর চুল কাটল। কিছু হলো না কিন্তু মাদ্রাসার শিক্ষক চুল কেটেছে বলে গ্রেফতার হয়েছে। হায় রে বাংলাদেশ।।,1
এখন আপনারা সাংবাদিকরা প্যান্ট খুলে নাচেন,1
শিক্ষা ক্ষেত্রে অশনি সংকেত!,0
"আমার শিক্ষকরা কয়েকবারই  আমার চুল কাটছে। তখন বুঝিনি। আজ বুঝি, তাদের এমন শাসনের কারণেই আমি আজ শিক্ষকতা করছি। মনে চাই, তাদের পা ধরে বলি, আপনার বাবা সূলভ শাসনেই মানুষের কাতারে আছি।",0
"তীব্র নিন্দা জানাচ্ছি,,,,, অসভ্যতা এদেশে এমনভাবে সয়লাব হয়েছে যে,,,এখন অসভ্যতাই সভ্যতা নাম ধারণ করেছে,,,,",1
"সাবাশ ! ! শিক্ষকের মর্যাদা অনেক দেওয়া হল , বাদশাহ আলমগীর আপনি ভুল ছিলেন !?",0
